id,contestant,target,time,comment,context,episode arc,grouping,place
,Honey Mahogany,self,,"""my name is Honey Mahogany and I'm 28 years old""",confessional,introduction,,confessional
,Detox,Honey Mahogany,6:14,"""Honey Mahogany is like a RuPaul poster... but not quite as polished. sorry about it~! :)""",confessional,introduction,,confessional
,Honey Mahogany,general,6:16,"""I think I'm the first queen from San Francisco, actually.""",in situ,introduction,,
,unknown,Honey Mahogany,6:19,"""hello, hippy!""",in situ,introduction,,
,Honey Mahogany,self,3:46,"""People get down on San Francisco for being a bunch of hippies, but there's so much beauty there. Have you seen Honey Mahogany?""",confessional,introduction,,confessional
,Ivy Winters,general,,"""hey hey hey ladies!""",in situ,introduction,,
,Ivy Winters,self,,"""My name is Ivy Winters. I'm 25 years old.""",confessional,introduction,,confessional
,Serena ChaCha,Ivy Winters,6:40,"""Your top is awesome, it's so well tailored.""",in situ,introduction,,
,Ivy Winters,Serena ChaCha,6:41,"""thank you""",in situ,introduction,,
,Ivy Winters,self,6:42,"""I make costumes out of casette tape, paper cups, condoms. I will figure out a way to turn it into a costume.""",confessional,introduction,,confessional
,Ivy Winters,general,6:50,"""And I used to work as a clown for like eight years.""",in situ,introduction,,
,"Detox, Alaska",Ivy Winters,6:51,"""You still do.""",in situ,introduction,,
,Monica Beverly Hillz,general,6:57,"""Hello girls!""",in situ,introduction,,
,Monica Beverly Hillz,self,6:58,"""I'm Monica Beverly Hillz, with a zee.""",confessional,introduction,,confessional
,Monica Beverly Hillz,self,7:01,"""I'm 27. Monica Beverly Hillz is very good at giving face.""",confessional,introduction,,confessional
,Monica Beverly Hillz,general,7:07,"""This might be the fishiest season ever, darlings.""",in situ,introduction,,
,Monica Beverly Hillz,self,7:09,"""I have been called ghetto, banjy, trashy... I was raised in the ghetto, you know. I'm very street smart, and there's nothing wrong with that.""",confessional,introduction,,confessional
,Lineysha Sparx,self,7:21,"""I am Lineysha Sparx and I'm 24 years old.""",confessional,introduction,,confessional
,Lineysha Sparx,self,7:25,"""Lineysha is so fierce, so flawless, so sparkling.""",confessional,introduction,,confessional
,Lineysha Sparx,general,7:29,"""I'm very excited to be here, representing Puerto Rico.",in situ,introduction,,
,general,Lineysha Sparx,7:33,"""Yeah!""",in situ,introduction,,
,Lineysha Sparx,self,,"""Lineysha's in the house, so watch out bitches!""",confessional,introduction,,confessional
,?,general,,"""how many more girls?",in situ,introduction,,
,?,general,,"""this has to be it. Lucky 13?""",in situ,introduction,,
,Coco Montrese,self,,"""I'm Coco Montrese and I'm 37 years old.""",confessional,introduction,,confessional
,Alyssa Edwards,Coco Montrese,7:57,"""and then walks in Coco Montrese. The face crack of the century.""",confessional,introduction,,confessional
,Coco Montrese,Alyssa Edwards,8:08,"""Alyssa Edwards. What the fuck.""",confessional,introduction,,confessional
,Coco Montrese,Alyssa Edwards,8:13,"""Oh, Alyssa Edwards, again.""",in situ,introduction,,
,?,general,8:15,"""Here she goes!""",in situ,introduction,,
,Vivian Pinay,general,8:16,"""What's the story?""",in situ,introduction,,
,Coco Montrese,Alyssa Edwards,8:18,"""Alyssa, you want to tell the story or you want me to tell the story?""",in situ,introduction,,
,Alyssa Edwards,general,8:20,"""There's no story!""",in situ,introduction,,
,?,Alyssa Edwards,8:21,"""What's the story?!""",in situ,introduction,,
,Alyssa Edwards,Coco Montrese,8:22,"""We haven't spoke in two years. The pageant tore our friendship apart.""",confessional,introduction,,confessional
,Coco Montrese,Alyssa Edwards,8:27,"""We were close. And I feel like I was bamboozled.""",confessional,introduction,,confessional
,Alyssa Edwards,Coco Montrese,8:30,"""Coco was the one back-stabbing me behind my back.""",in situ,introduction,,
,Coco Montrese,general,8:33,"""Alyssa and I will have our moment later together, cuz we need a moment.""",in situ,introduction,,
,Coco Montrese,Alyssa Edwards,8:37,"""I don't think she wants to talk about. But I want to talk about it. If she doesn't get sent home first.""",confessional,introduction,,confessional
,Alyssa Edwards,Coco Montrese,8:46,"""Game on, bitch: the sequel.""",confessional,introduction,,confessional
,RuPaul,general,8:55,"""Welcome, my queens. I told you California was the place you oughta be, so you tightened up your tuck, and you flew to Beverly... Hills! Adjacent, that is. So whether you're a Fresh Princess of Bel-Air, a Malibu Barbie, or just serving Real Housewife realness, to get your big break in RuPauliwood, you need to make an even bigger splash and really shake things up.""",recording,SheMail,,
,RuPaul,general,9:26,"""Oh, oh my goodness!~ An earthquake! My hair! Oooh~ I think it's the big one. Ooh, faster! faster! Ooh, slower, slower, slower, Ah! Cut!""",recording,SheMail,,
,RuPaul,general,9:43,"""Remember, to snatch this crowd, you need to fake it till you make it.""",recording,SheMail,,
,RuPaul,general,9:55,"""Hello hello hello~! Welcome to RuPaul's Drag Race!""",in situ,first challenge,,
,RuPaul,general,10:06,"""Now, I chose each of you because I see in you the raw ""Charisma Uniqueness Nerve and Talent"" that it takes to go all the way. In addition to winning the title of America's Next Drag Superstar, the champion of RuPaul's Drag Race will receive: a lifetime supply of Color Evolution Cosmetics, a one-of-a-kind trip courtesy of AlandChuck.Travel and headline Logos outrageous Drag Race Tour featuring Absolut Vodka cocktails perfected and some cash money, honey. Yes, child, to the tune of $100,000.""",in situ,first challenge,,
,Lineysha Sparx,self,10:52,"""Wow, I feel so excited, it's one hundred thousand of dollars. and I want to win that money.""",confessional,first challenge,,confessional
,RuPaul,general,10:59,"""No more kidding around, girls. You're in the entertaint-ment capital of the world. And to make it in RuPauliwood, you've got to dive in the deep end. Are you ready for your closeup?""",in situ,first challenge,,
,RuPaul,Jade Jolie,11:34,"""Hi Jade~""",in situ,first challenge,,
,Jade Jolie,RuPaul,11:35,"""Hey Ru~""",in situ,first challenge,,
,Jade Jolie,self,11:37,"""It's time for our first photoshoot. I am eager to see what the challenge is and i am super nervous.""",confessional,first challenge,,confessional
,RuPaul,Jade Jolie,11:41,"""What do you think is going on right now?""",in situ,first challenge,,
,Jade Jolie,RuPaul,11:45,"""Um, I'm not sure.""",in situ,first challenge,,
,Mike Ruiz,Jade Jolie,11:47,"""Well, turn around~!""",in situ,first challenge,,
,Jade Jolie,general,11:50,"""Oh my gosh, talk about the elephant in the room, didn't see that.",in situ,first challenge,,
,RuPaul,Jade Jolie,11:56,"""Now, say hello to the the amazing Mike Ruiz. Mike is here to shoot your Hollywood Splash Photo. What we're looking for is underwater, serving glamour.""",in situ,first challenge,,
,Mike Ruiz,Jade Jolie,12:06,"""Like, give us fish!""",in situ,first challenge,,
,Jade Jolie,Mike Ruiz,12:08,"""Awesome.""",in situ,first challenge,,
,RuPaul,Jade Jolie,12:09,"""Let's do it!""",in situ,first challenge,,
,Mike Ruiz,Jade Jolie,12:10,"""Today, we're doing an homage to old Hollywood, that's kind of a tribute to old Esther Williams films."" ",in situ,first challenge,,
,RuPaul,Jade Jolie,12:16,"""Please note that there's no pee in the water.""",in situ,first challenge,,
,Mike Ruiz,Jade Jolie,12:19,"""Alright, hit it!""",in situ,first challenge,,
,RuPaul,Jade Jolie,12:22,"""Jade Jolie, you're soaking in it.""",in situ,first challenge,,
,Mike Ruiz,Jade Jolie,12:25,"""Try not to look like you're holding your breath.""",in situ,first challenge,,
,Mike Ruiz,self,12:28,"""Jade would inhale a bunch of air and would hold it all in her cheeks like a chipmunk. That doesn't make for a very pretty glamour shot.""",confessional,first challenge,,confessional
,Mike Ruiz,Jade Jolie,12:34,"""She's giving you parrot fish.""",in situ,first challenge,,
,Jade Jolie,self,12:36,"""I was giving Helen Keller drowning realness.""",confessional,first challenge,,confessional
,RuPaul,general,12:40,"""Oooh, wet and wild.""",in situ,first challenge,,
,RuPaul,Roxxxy Andrews andrews,12:42,"""Roxxxy Andrews Andrews!""",in situ,first challenge,,
,Mike Ruiz,Roxxxy Andrews andrews,12:44,"""Hit it!""",in situ,first challenge,,
,Mike Ruiz,Roxxxy Andrews andrews,12:45,"""Acrobatic racegirl gorgeous face glamour!""",in situ,first challenge,,
,RuPaul,Roxxxy Andrews andrews,12:50,"""Oh, she's rolling in the deep!""",in situ,first challenge,,
,RuPaul,Roxxxy Andrews andrews,12:52,"""On the Roxxxy Andrews with a splash.""",in situ,first challenge,,
,RuPaul,Detox,12:54,"""Detox!""",in situ,first challenge,,
,RuPaul,Detox,12:55,"""Give us everything you've got.""",in situ,first challenge,,
,Mike Ruiz,Detox,12:58,"""Yes! It's the bumble-fish""",in situ,first challenge,,
,Mike Ruiz,Detox,13:00,"""Aqua-womana~!""",in situ,first challenge,,
,"RuPaul, Mike Ruiz",Detox,13:02,"""Gorgeous.""",in situ,first challenge,,
,RuPaul,general,13:05,"""Detox fell off the wagon and into the pool.""",in situ,first challenge,,
,RuPaul,Serena ChaCha,13:08,"""Serena ChaCha! The time has come for you to sink, for your life.""",in situ,first challenge,,
,Mike Ruiz,Serena ChaCha,13:15,"""Uno, dos, tres!""",in situ,first challenge,,
,RuPaul,Serena ChaCha,13:17,"""Oh! Oh dear. I can see your seafood platter. Your paella is showing.""",in situ,first challenge,,
,Mike Ruiz,Serena ChaCha,13:24,"""At least Serena was wearing panties.""",in situ,first challenge,,
,RuPaul,Serena ChaCha,13:27,"""Ok, there's a pole, hun. Hold onto the pole.""",in situ,first challenge,,
,Mike Ruiz,Serena ChaCha,13:29,"""Look it! It looks like frog legs.""",in situ,first challenge,,
,Serena ChaCha,general,13:37,"""What the fuck was that about, guys?!""",in situ,first challenge,,workroom
,Alyssa Edwards,Serena ChaCha,13:38,"""It's not your quinceanera anymore, is it?""",in situ,first challenge,,workroom
,Jade Jolie,Serena ChaCha,13:41,"""Your quinceanera is ruined!""",in situ,first challenge,,workroom
,Serena ChaCha,general,13:42,"""I'm not tucked!""",in situ,first challenge,,workroom
,Alyssa Edwards,Serena ChaCha,13:44,"oh, you didn't tuck?!",in situ,first challenge,,workroom
,Serena ChaCha,Alyssa Edwards,13:45,"""I'm not tucked at all. So the dress was doing this [waves dress] the whole time.""",in situ,first challenge,,workroom
,Detox,Serena ChaCha,13:48,"""So, all your bubblegum and everything...""",in situ,first challenge,,workroom
,Alyssa Edwards,Serena ChaCha,13:50,"""So you thought you were being cute today by being comfortable with your non-tuck, and ????? together...""",in situ,first challenge,,workroom
,Alyssa Edwards,self,13:54,"""I'm not a fan of girls who don't tuck. Look like a woman. It's female impersonation at the end of the day.""",confessional,first challenge,,stage
,RuPaul,Alyssa Edwards,14:02,"""Deeper. Don't be so shallow, Alyssa.""",in situ,first challenge,,stage
,RuPaul,Alyssa Edwards,14:06,"""Your legs look like calamari when you do that.""",in situ,first challenge,,stage
,Alyssa Edwards,RuPaul,14:10,"""Okay.""",in situ,first challenge,,stage
,RuPaul,Alyssa Edwards,14:11,::blank look::,in situ,first challenge,,stage
,RuPaul,Alyssa Edwards,14:14,"""Dance underwater!""",in situ,first challenge,,stage
,RuPaul,Alyssa Edwards,14:16,"""Is that dress wash and wear?""",in situ,first challenge,,stage
,RuPaul,Alyssa Edwards,14:20,"""Careful on these wet, slippery surfaces.""",in situ,first challenge,,stage
,RuPaul,general,14:22,"""Oh! Queen down!""",in situ,first challenge,,stage
,Alyssa Edwards,RuPaul,14:24,"""At least I did it gracefully.""",in situ,first challenge,,stage
,RuPaul,general,14:27,"""Very.""",in situ,first challenge,,stage
,RuPaul,Jinkx Monsoon,14:28,"""Jinkx Monsoon, welcome to the drag lagoon!""",in situ,first challenge,,stage
,Jinkx Monsoon,self,14:33,"""I don't know how to swim. I learned how to swim by one of my uncles pushing me off a log, into a river.""",confessional,first challenge,,confessional
,Jinkx Monsoon,self,14:44,"""First time under the water, I lost both of my contacts. i was blinded within seconds.""",confessional,first challenge,,confessional
,RuPaul,Jinkx Monsoon,14:50,"""Okay, you look a little scared underwater.""",confessional,first challenge,,confessional
,RuPaul,Jinkx Monsoon,14:53,"""More pretty face.""",in situ,first challenge,,stage
,Mike Ruiz,Jinkx Monsoon,14:59,"""Okay, too much splashing.""",in situ,first challenge,,stage
,Mike Ruiz,Jinkx Monsoon,15:00,"""Uh oh...""",in situ,first challenge,,stage
,Mike Ruiz,Jinkx Monsoon,15:03,"""You're splashing around--oops.""",in situ,first challenge,,stage
,Mike Ruiz,Jinkx Monsoon,15:08,"""Are you okay?""",in situ,first challenge,,stage
,Jinkx Monsoon,Mike Ruiz,15:11,"""Just a little tangled.""",in situ,first challenge,,stage
,Mike Ruiz,Jinkx Monsoon,15:13,"""I think we're going to have to call it a wrap.""",in situ,first challenge,,stage
,RuPaul,general,15:17,"""Jinkx, there's got to be a morning after.""",in situ,first challenge,,stage
,RuPaul,Penny Tration,15:20,"""Deeper, Penny Tration!""",in situ,first challenge,,stage
,RuPaul,Penny Tration,15:23,"""Girl, you're gonna put Shelley Winters out of work!""",in situ,first challenge,,stage
,RuPaul,Penny Tration,15:27,"""Oh, wait a minute.""",in situ,first challenge,,stage
,Mike Ruiz,Penny Tration,15:29,"""And go.""",in situ,first challenge,,stage
,RuPaul,general,15:30,"""Yes, yes, yes! Poseidon adventure, darling.""",in situ,first challenge,,stage
,Mike Ruiz,Vivian Pinay,15:34,"""Hit it!""",in situ,first challenge,,stage
,RuPaul,general,15:35,"""Serving Wettie Page.""",in situ,first challenge,,stage
,Mike Ruiz,Vivian Pinay,15:37,"""Yes!""",in situ,first challenge,,stage
,RuPaul,general,15:38,"""Touch all of the skin.""",in situ,first challenge,,stage
,RuPaul,general,15:40,"""The filet of Vivian Pinay.""",in situ,first challenge,,stage
,RuPaul,general,15:45,"""Oh, Alaska's underwater. Damn you, global warming!""",in situ,first challenge,,stage
,RuPaul,Alaska,15:51,"""Okay. Yeah, you're head's not going very deep.""",in situ,first challenge,,stage
,Alaska,general,15:52,"""Wha~!""",in situ,first challenge,,stage
,Mike Ruiz,Alaska,15:54,"""And keep your hair out of your face!""",in situ,first challenge,,stage
,Alaska,general,16:00,"""I can't get deep enough. I don't know how to do it!""",in situ,first challenge,,stage
,Mike Ruiz,self,16:04,"""Alaska, she got really frustrated, and it showed.""",confessional,first challenge,,confessional
,Mike Ruiz,Alaska,16:08,"""Push yourself down. Go!""",in situ,first challenge,,stage
,Mike Ruiz,Alaska,16:12,"""No.""",in situ,first challenge,,stage
,RuPaul,Alaska,16:13,"""Nope--on your face.""",in situ,first challenge,,stage
,Alaska,general,16:15,"""Alright, alright. I can't do it. I failed.""",in situ,first challenge,,stage
,RuPaul,Alaska,16:20,"""We will offer you one more dip if you want to take it.""",in situ,first challenge,,stage
,Alaska,RuPaul,16:24,"""I'm sorry.""",in situ,first challenge,,stage
,Alaska,general,16:28,"""That was terrible!""",in situ,first challenge,,workroom
,general,general,16:29,::laughter::,in situ,first challenge,,workroom
,Alaska,self,16:31,"""I can't believe that. I'm in shock.""",confessional,first challenge,,confessional
,Alaska,general,16:34,"""I did so bad!""",in situ,first challenge,,workroom
,Alaska,general,16:36,"""I don't know how to swim.""",in situ,first challenge,,workroom
,Detox,Alaska,16:38,"""Oh, get that.""",in situ,first challenge,,workroom
,Alaska,self,16:39,"""I've completely blown it. I don't know what I'm gonna to do.""",confessional,first challenge,,confessional
,RuPaul,Honey Mahogany,16:43,"""It's Honey Mahogany!""",in situ,first challenge,,stage
,RuPaul,general,16:47,"""Honey, I sunk the kids.""",in situ,first challenge,,stage
,RuPaul,general,16:49,"""Ooh! That was pretty!""",in situ,first challenge,,stage
,RuPaul,Ivy Winters,16:52,"""Ivy Winters!""",in situ,first challenge,,stage
,RuPaul,Ivy Winters,16:54,"""Throwing caution to the wind!""",in situ,first challenge,,stage
,RuPaul,general,16:56,"""Fishy when wet!""",in situ,first challenge,,stage
,RuPaul,Monica Beverly Hillz,16:58,"""Monica Beverly Hillz.""",in situ,first challenge,,stage
,Mike Ruiz,Monica Beverly Hillz,17:02,"""Push your dress down when you get underwater.""",in situ,first challenge,,stage
,RuPaul,Monica Beverly Hillz,17:05,"""You look like a jellyfish.""",in situ,first challenge,,stage
,RuPaul,general,17:07,"""In the future, you should handwash your woolens.""",in situ,first challenge,,stage
,RuPaul,Lineysha Sparx,17:11,"""Oh... yes!""",in situ,first challenge,,stage
,Mike Ruiz,Lineysha Sparx,17:14,"""Alright!""",in situ,first challenge,,stage
,Mike Ruiz,self,17:15,"""Lineysha's body language was so incredibly graceful and dancerly, it was amazing.""",confessional,first challenge,,confessional
,RuPaul,Lineysha Sparx,17:19,"""Sparkle, Lineysha, sparkle!""",in situ,first challenge,,stage
,RuPaul,Lineysha Sparx,17:22,"""Sorry to say, that satin will never be the same.""",in situ,first challenge,,stage
,RuPaul,Lineysha Sparx,17:26,"""Work!""",in situ,first challenge,,stage
,RuPaul,Coco Montrese,17:28,"""Coco Montrese!",in situ,first challenge,,stage
,RuPaul,Coco Montrese,17:30,"""Chicken of the sea! Serving Tuna Turner.""",in situ,first challenge,,stage
,Mike Ruiz,Coco Montrese,17:35,"""Relax your face!""",in situ,first challenge,,stage
,RuPaul,Coco Montrese,17:37,"""Yes, mama.""",in situ,first challenge,,stage
,RuPaul,general,17:40,"""Instant CoCo -- just add water.""",in situ,first challenge,,stage
,Coco Montrese,general,17:43,"""Okay y'all. Somebody forgot to tell them that black people don't swim.""",in situ,first challenge,,workroom
